Datetime,open,high,low,close,Volume
2024-07-29 15:00:00,22243.0,22289.0,22237.0,22289.0,1000
2024-07-29 15:01:00,22260.0,22285.0,22248.0,22248.0,322
2024-07-29 15:02:00,22248.0,22276.0,22246.0,22247.0,188
2024-07-29 15:03:00,22247.0,22276.0,22247.0,22252.0,214
2024-07-29 15:04:00,22251.0,22370.0,22245.0,22246.0,192
2024-07-29 15:05:00,22245.0,22365.0,22235.0,22240.0,408
2024-07-29 15:06:00,22240.0,22242.0,22234.0,22242.0,270
2024-07-29 15:07:00,22244.0,22270.0,22244.0,22255.0,182
2024-07-29 15:08:00,22253.0,22278.0,22250.0,22254.0,86
2024-07-29 15:09:00,22253.0,22352.0,22249.0,22250.0,216
2024-07-29 15:10:00,22251.0,22341.0,22243.0,22245.0,122
2024-07-29 15:11:00,22244.0,22268.0,22236.0,22242.0,166
2024-07-29 15:12:00,22242.0,22242.0,22236.0,22237.0,66
2024-07-29 15:13:00,22240.0,22243.0,22237.0,22240.0,46
2024-07-29 15:14:00,22241.0,22245.0,22237.0,22240.0,110
2024-07-29 15:15:00,22240.0,22244.0,22235.0,22240.0,112
2024-07-29 15:16:00,22241.0,22268.0,22239.0,22239.0,86
2024-07-29 15:17:00,22239.0,22261.0,22223.0,22224.0,300
2024-07-29 15:18:00,22223.0,22226.0,22219.0,22225.0,310
2024-07-29 15:19:00,22226.0,22227.0,22221.0,22221.0,122
2024-07-29 15:20:00,22221.0,22242.0,22214.0,22220.0,238
2024-07-29 15:21:00,22221.0,22228.0,22220.0,22228.0,100
2024-07-29 15:22:00,22227.0,22259.0,22227.0,22234.0,106
2024-07-29 15:23:00,22231.0,22233.0,22227.0,22227.0,46
2024-07-29 15:24:00,22226.0,22235.0,22226.0,22234.0,100
2024-07-29 15:25:00,22234.0,22263.0,22231.0,22234.0,92
2024-07-29 15:26:00,22237.0,22246.0,22236.0,22246.0,170
2024-07-29 15:27:00,22243.0,22245.0,22238.0,22240.0,54
2024-07-29 15:28:00,22240.0,22265.0,22234.0,22240.0,72
2024-07-29 15:29:00,22241.0,22241.0,22233.0,22233.0,40
2024-07-29 15:30:00,22234.0,22234.0,22229.0,22230.0,88
2024-07-29 15:31:00,22233.0,22253.0,22223.0,22225.0,138
2024-07-29 15:32:00,22227.0,22236.0,22227.0,22235.0,78
2024-07-29 15:33:00,22237.0,22269.0,22237.0,22239.0,112
2024-07-29 15:34:00,22237.0,22237.0,22231.0,22236.0,44
2024-07-29 15:35:00,22239.0,22239.0,22226.0,22228.0,112
2024-07-29 15:36:00,22227.0,22251.0,22218.0,22222.0,172
2024-07-29 15:37:00,22223.0,22240.0,22208.0,22217.0,396
2024-07-29 15:38:00,22217.0,22221.0,22216.0,22221.0,112
2024-07-29 15:39:00,22222.0,22228.0,22222.0,22226.0,144
2024-07-29 15:40:00,22227.0,22256.0,22227.0,22230.0,84
2024-07-29 15:41:00,22230.0,22230.0,22210.0,22210.0,170
2024-07-29 15:42:00,22214.0,22214.0,22210.0,22210.0,122
2024-07-29 15:43:00,22211.0,22212.0,22208.0,22208.0,214
2024-07-29 15:44:00,22207.0,22241.0,22205.0,22213.0,230
2024-07-29 15:45:00,22216.0,22219.0,22213.0,22217.0,158
