Datetime,open,high,low,close,Volume
2024-08-30 15:00:00,22318.0,22325.0,22306.0,22320.0,726
2024-08-30 15:01:00,22320.0,22327.0,22310.0,22320.0,480
2024-08-30 15:02:00,22317.0,22319.0,22310.0,22313.0,64
2024-08-30 15:03:00,22312.0,22323.0,22312.0,22322.0,176
2024-08-30 15:04:00,22320.0,22320.0,22314.0,22317.0,56
2024-08-30 15:05:00,22313.0,22319.0,22305.0,22316.0,152
2024-08-30 15:06:00,22318.0,22326.0,22315.0,22315.0,148
2024-08-30 15:07:00,22312.0,22315.0,22298.0,22302.0,210
2024-08-30 15:08:00,22304.0,22304.0,22296.0,22296.0,146
2024-08-30 15:09:00,22297.0,22305.0,22297.0,22300.0,86
2024-08-30 15:10:00,22300.0,22300.0,22289.0,22296.0,356
2024-08-30 15:11:00,22297.0,22303.0,22294.0,22301.0,44
2024-08-30 15:12:00,22303.0,22303.0,22295.0,22298.0,98
2024-08-30 15:13:00,22299.0,22300.0,22297.0,22300.0,44
2024-08-30 15:14:00,22302.0,22303.0,22296.0,22297.0,50
2024-08-30 15:15:00,22298.0,22305.0,22294.0,22305.0,88
2024-08-30 15:16:00,22305.0,22315.0,22305.0,22315.0,86
2024-08-30 15:17:00,22314.0,22325.0,22312.0,22324.0,198
2024-08-30 15:18:00,22323.0,22328.0,22284.0,22328.0,168
2024-08-30 15:19:00,22328.0,22334.0,22326.0,22328.0,250
2024-08-30 15:20:00,22328.0,22330.0,22324.0,22325.0,60
2024-08-30 15:21:00,22325.0,22325.0,22321.0,22322.0,72
2024-08-30 15:22:00,22322.0,22326.0,22321.0,22322.0,48
2024-08-30 15:23:00,22322.0,22327.0,22322.0,22324.0,56
2024-08-30 15:24:00,22323.0,22323.0,22318.0,22320.0,58
2024-08-30 15:25:00,22320.0,22324.0,22320.0,22323.0,40
2024-08-30 15:26:00,22325.0,22330.0,22323.0,22325.0,92
2024-08-30 15:27:00,22324.0,22327.0,22324.0,22327.0,36
2024-08-30 15:28:00,22325.0,22331.0,22323.0,22328.0,94
2024-08-30 15:29:00,22326.0,22340.0,22316.0,22337.0,336
2024-08-30 15:30:00,22337.0,22345.0,22336.0,22339.0,240
2024-08-30 15:31:00,22339.0,22343.0,22339.0,22340.0,132
2024-08-30 15:32:00,22341.0,22347.0,22340.0,22347.0,90
2024-08-30 15:33:00,22346.0,22348.0,22343.0,22347.0,148
2024-08-30 15:34:00,22346.0,22347.0,22342.0,22342.0,80
2024-08-30 15:35:00,22342.0,22349.0,22340.0,22349.0,102
2024-08-30 15:36:00,22348.0,22352.0,22345.0,22350.0,126
2024-08-30 15:37:00,22351.0,22362.0,22350.0,22356.0,364
2024-08-30 15:38:00,22357.0,22360.0,22357.0,22359.0,124
2024-08-30 15:39:00,22358.0,22363.0,22356.0,22362.0,224
2024-08-30 15:40:00,22363.0,22363.0,22350.0,22352.0,238
2024-08-30 15:41:00,22350.0,22355.0,22350.0,22355.0,84
2024-08-30 15:42:00,22355.0,22357.0,22352.0,22355.0,70
2024-08-30 15:43:00,22354.0,22358.0,22353.0,22353.0,90
2024-08-30 15:44:00,22353.0,22382.0,22353.0,22378.0,936
2024-08-30 15:45:00,22377.0,22381.0,22373.0,22380.0,402
2024-08-30 15:46:00,22381.0,22386.0,22372.0,22372.0,236
2024-08-30 15:47:00,22373.0,22378.0,22370.0,22375.0,56
2024-08-30 15:48:00,22376.0,22376.0,22370.0,22376.0,138
2024-08-30 15:49:00,22375.0,22377.0,22368.0,22370.0,86
2024-08-30 15:50:00,22369.0,22372.0,22368.0,22370.0,74
2024-08-30 15:51:00,22369.0,22370.0,22365.0,22365.0,90
2024-08-30 15:52:00,22365.0,22370.0,22365.0,22370.0,52
2024-08-30 15:53:00,22371.0,22379.0,22371.0,22375.0,100
2024-08-30 15:54:00,22378.0,22380.0,22375.0,22375.0,86
2024-08-30 15:55:00,22376.0,22381.0,22375.0,22381.0,94
2024-08-30 15:56:00,22381.0,22387.0,22381.0,22387.0,234
2024-08-30 15:57:00,22386.0,22390.0,22368.0,22387.0,172
2024-08-30 15:58:00,22387.0,22394.0,22387.0,22390.0,262
2024-08-30 15:59:00,22389.0,22391.0,22382.0,22386.0,126
2024-08-30 16:00:00,22382.0,22390.0,22377.0,22384.0,356
2024-08-30 16:01:00,22382.0,22382.0,22370.0,22372.0,152
2024-08-30 16:02:00,22375.0,22377.0,22369.0,22374.0,104
2024-08-30 16:03:00,22370.0,22376.0,22370.0,22373.0,54
2024-08-30 16:04:00,22372.0,22373.0,22365.0,22368.0,94
2024-08-30 16:05:00,22370.0,22371.0,22363.0,22367.0,106
2024-08-30 16:06:00,22368.0,22374.0,22368.0,22374.0,86
2024-08-30 16:07:00,22374.0,22380.0,22373.0,22378.0,120
2024-08-30 16:08:00,22378.0,22378.0,22366.0,22369.0,98
2024-08-30 16:09:00,22369.0,22370.0,22357.0,22362.0,246
2024-08-30 16:10:00,22363.0,22368.0,22361.0,22365.0,260
2024-08-30 16:11:00,22364.0,22368.0,22363.0,22365.0,154
2024-08-30 16:12:00,22366.0,22369.0,22363.0,22363.0,122
2024-08-30 16:13:00,22363.0,22369.0,22362.0,22369.0,46
2024-08-30 16:14:00,22368.0,22370.0,22368.0,22370.0,42
2024-08-30 16:15:00,22369.0,22375.0,22367.0,22375.0,86
2024-08-30 16:16:00,22375.0,22376.0,22370.0,22370.0,74
2024-08-30 16:17:00,22369.0,22378.0,22369.0,22375.0,76
2024-08-30 16:18:00,22377.0,22380.0,22374.0,22378.0,76
2024-08-30 16:19:00,22378.0,22380.0,22371.0,22371.0,94
2024-08-30 16:20:00,22372.0,22373.0,22361.0,22361.0,94
2024-08-30 16:21:00,22360.0,22366.0,22359.0,22365.0,98
2024-08-30 16:22:00,22365.0,22370.0,22365.0,22369.0,30
2024-08-30 16:23:00,22368.0,22369.0,22365.0,22365.0,32
2024-08-30 16:24:00,22365.0,22370.0,22363.0,22370.0,54
2024-08-30 16:25:00,22370.0,22374.0,22370.0,22373.0,72
2024-08-30 16:26:00,22372.0,22374.0,22365.0,22367.0,34
